UserCardBIN,concern_edges,concern_rows,y,marker_size
507799,11,8483,79,28.0
505670,11,4237,81,18.881889763779526
532412,12,3671,49,17.666428060128847
508719,12,3126,39,16.496062992125985
534311,11,2984,61,16.19112383679313
426674,8,2797,29,15.789549033643521
414710,9,2372,12,14.876879026485327
515357,7,2064,68,14.21546170365068
414708,7,1833,37,13.719398711524695
434246,6,1828,7,13.708661417322835
532537,4,1702,54,13.438081603435934
444786,7,1648,34,13.322118826055835
414730,7,1243,24,12.452397995705082
470783,5,1018,31,11.969219756621332
438847,5,992,36,11.913385826771654
406085,4,949,57,11.821045096635647
504371,4,930,45,11.780243378668576
403774,4,910,56,11.73729420186113
534341,5,842,67,11.59126700071582
529683,4,775,47,11.447387258410881
440056,5,768,8,11.432355046528276
400012,4,735,11,11.36148890479599
410029,5,708,25,11.303507516105942
522833,3,683,43,11.249821045096635
400889,2,639,69,11.155332856120257
403153,1,630,20,11.136005726556908
431493,3,628,40,11.131710808876164
542427,3,627,58,11.129563350035792
540108,2,604,78,11.08017179670723
536310,1,604,93,11.08017179670723
438844,3,594,41,11.058697208303508
463143,2,590,70,11.05010737294202
527805,2,564,80,10.994273443092341
434247,3,536,33,10.934144595561918
448223,3,507,22,10.871868289191124
486198,2,501,9,10.858983536148891
532426,2,490,71,10.835361488904796
482802,1,470,94,10.792412312097351
413027,1,466,64,10.783822476735862
519574,2,454,30,10.758052970651395
434759,2,444,32,10.736578382247673
435536,3,426,23,10.697924123120973
400885,3,401,14,10.644237652111668
414699,2,379,46,10.59699355762348
483306,3,357,21,10.54974946313529
516220,2,357,82,10.54974946313529
339272,1,351,2,10.536864710093056
436608,2,349,19,10.532569792412312
507794,1,316,50,10.461703650680029
420757,2,310,13,10.448818897637794
473692,2,286,10,10.397279885468862
403206,1,283,96,10.390837508947746
423213,2,272,18,10.367215461703651
493099,2,261,77,10.343593414459557
508935,1,230,53,10.277022190408017
502224,1,221,55,10.257695060844668
418992,1,220,95,10.255547602004295
521254,1,207,52,10.227630637079455
517509,1,204,42,10.221188260558339
483302,1,203,35,10.219040801717966
481166,1,202,83,10.216893342877595
523943,1,197,76,10.206156048675734
480980,1,196,86,10.204008589835361
330548,1,185,1,10.180386542591267
400334,1,171,59,10.150322118826056
446532,1,170,38,10.148174659985683
458443,1,168,63,10.14387974230494
516213,1,168,3,10.14387974230494
536610,1,157,5,10.120257695060845
461036,1,156,17,10.118110236220472
539423,1,155,72,10.1159627773801
487907,1,144,27,10.092340730136005
413679,1,140,62,10.083750894774516
511847,1,140,60,10.083750894774516
446606,1,137,44,10.0773085182534
517513,1,132,48,10.06657122405154
524768,1,132,74,10.06657122405154
532533,1,132,92,10.06657122405154
535952,1,132,51,10.06657122405154
502168,1,128,75,10.05798138869005
542336,1,128,73,10.05798138869005
470011,1,125,84,10.051539012168934
514360,1,122,89,10.045096635647816
548152,1,117,88,10.034359341445956
466339,1,114,28,10.027916964924838
498493,1,112,6,10.023622047244094
527987,1,111,90,10.021474588403722
422958,1,108,65,10.015032211882605
339459,1,107,0,10.012884753042233
419445,1,107,85,10.012884753042233
474655,1,107,87,10.012884753042233
547561,1,107,4,10.012884753042233
403756,1,104,15,10.006442376521116
442746,1,104,26,10.006442376521116
443035,1,103,16,10.004294917680744
426928,1,102,66,10.002147458840373
532778,1,101,91,10.0
