UserCardBIN,Segment,mature_rows,approved_rows,fraud_rows,approval_rate,fraud_rate_on_approved
213132,4,1,0,0,0.0,
213181,3,1,1,0,1.0,0.0
220644,4,2,0,0,0.0,
223035,1,3,0,0,0.0,
223035,2,8,5,0,0.625,0.0
223039,4,1,0,0,0.0,
259358,4,1,0,0,0.0,
300000,4,10,4,4,0.4,1.0
300044,3,1,1,0,1.0,0.0
300044,4,3,0,0,0.0,
300070,1,42,24,0,0.5714285714285714,0.0
300070,2,41,16,0,0.3902439024390244,0.0
300071,2,10,4,0,0.4,0.0
300071,3,2,1,0,0.5,0.0
300071,4,1,0,0,0.0,
300072,2,5,0,0,0.0,
300072,4,3,3,1,1.0,0.3333333333333333
300073,4,2,2,0,1.0,0.0
300085,4,4,1,1,0.25,1.0
300086,2,2,0,0,0.0,
300086,4,2,2,0,1.0,0.0
300087,3,1,0,0,0.0,
300087,4,5,1,0,0.2,0.0
300195,4,1,0,0,0.0,
300203,4,4,0,0,0.0,
300574,4,1,0,0,0.0,
301054,4,1,0,0,0.0,
301062,1,57,53,0,0.9298245614035088,0.0
301062,2,3,2,0,0.6666666666666666,0.0
301062,3,5,4,0,0.8,0.0
301062,4,10,5,0,0.5,0.0
301063,1,70,46,0,0.6571428571428571,0.0
301063,2,8,5,0,0.625,0.0
301063,3,27,11,3,0.4074074074074074,0.2727272727272727
301063,4,6,3,3,0.5,1.0
301064,2,14,13,0,0.9285714285714286,0.0
301064,3,6,5,0,0.8333333333333334,0.0
301064,4,23,17,14,0.7391304347826086,0.8235294117647058
301065,1,40,27,0,0.675,0.0
301065,2,32,19,0,0.59375,0.0
301065,3,2,1,0,0.5,0.0
301065,4,3,2,0,0.6666666666666666,0.0
301066,1,6,6,1,1.0,0.16666666666666666
301066,2,17,10,4,0.5882352941176471,0.4
301066,3,2,1,0,0.5,0.0
301066,4,5,4,0,0.8,0.0
301067,1,13,9,0,0.6923076923076923,0.0
301067,2,16,14,1,0.875,0.07142857142857142
301067,3,2,2,0,1.0,0.0
301067,4,13,4,0,0.3076923076923077,0.0
301068,1,1,1,0,1.0,0.0
301068,2,15,14,0,0.9333333333333333,0.0
301068,4,1,1,1,1.0,1.0
301069,2,4,1,0,0.25,0.0
301069,3,4,3,0,0.75,0.0
301069,4,6,5,0,0.8333333333333334,0.0
301070,1,1,1,0,1.0,0.0
301070,2,10,6,0,0.6,0.0
301070,4,3,2,0,0.6666666666666666,0.0
301071,1,77,66,0,0.8571428571428571,0.0
301071,2,98,69,0,0.7040816326530612,0.0
301071,3,7,6,0,0.8571428571428571,0.0
301071,4,2,1,1,0.5,1.0
301072,1,9,4,0,0.4444444444444444,0.0
301072,2,12,8,0,0.6666666666666666,0.0
301072,3,5,1,0,0.2,0.0
