Channel,Segment,mature_rows,approved_rows,fraud_rows,approval_rate,fraud_rate_on_approved
ATM35,1,2366,1813,1,0.7662721893491125,0.0005515719801434088
ATM35,2,626,463,9,0.7396166134185304,0.019438444924406047
ATM35,3,190,119,0,0.6263157894736842,0.0
ATM35,4,71,37,0,0.5211267605633803,0.0
ATM47,1,813,638,0,0.7847478474784748,0.0
ATM47,2,267,184,1,0.6891385767790262,0.005434782608695652
ATM47,3,124,77,1,0.6209677419354839,0.012987012987012988
ATM47,4,74,45,1,0.6081081081081081,0.022222222222222223
ATM50,1,7180,5606,79,0.7807799442896936,0.01409204423831609
ATM50,2,1859,1293,9,0.6955352339967724,0.0069605568445475635
ATM50,3,2011,1282,56,0.6374937841869717,0.0436817472698908
ATM50,4,661,433,15,0.6550680786686838,0.03464203233256351
ATM51,1,2042,1382,11,0.6767874632713027,0.007959479015918957
ATM51,2,516,347,5,0.6724806201550387,0.01440922190201729
BATTLE,1,4227,3408,43,0.8062455642299503,0.01261737089201878
BATTLE,2,933,647,12,0.6934619506966774,0.01854714064914992
BATTLE1,1,1537,1057,13,0.6877033181522446,0.01229895931882687
BATTLE1,2,366,199,3,0.5437158469945356,0.01507537688442211
BATTLE2,1,2414,1845,46,0.7642916321458161,0.024932249322493227
BATTLE2,2,1773,1110,39,0.626057529610829,0.03513513513513514
BATTLE2,3,1752,983,44,0.5610730593607306,0.044760935910478125
BATTLE2,4,2118,987,40,0.4660056657223796,0.040526849037487336
BATTLE3,1,889,601,33,0.6760404949381328,0.05490848585690516
BATTLE3,2,676,327,25,0.48372781065088755,0.0764525993883792
BATTLE3,3,547,279,11,0.5100548446069469,0.03942652329749104
BATTLE3,4,543,284,24,0.5230202578268877,0.08450704225352113
BATTLE4,1,415,289,1,0.6963855421686747,0.0034602076124567475
BATTLE4,2,100,56,0,0.56,0.0
BATTLE5,1,2224,1828,5,0.8219424460431655,0.002735229759299781
BATTLE5,2,796,537,9,0.6746231155778895,0.01675977653631285
BATTLE5,3,970,546,19,0.5628865979381443,0.0347985347985348
BATTLE6,1,998,665,12,0.6663326653306614,0.01804511278195489
BATTLE6,2,381,200,9,0.5249343832020997,0.045
BATTLE6,3,380,194,4,0.5105263157894737,0.020618556701030927
BATTLE7,1,2917,2141,12,0.7339732601988345,0.005604857543204111
BATTLE7,2,796,484,6,0.6080402010050251,0.012396694214876033
BATTLE8,1,1170,610,7,0.5213675213675214,0.011475409836065573
BATTLE8,2,375,124,4,0.33066666666666666,0.03225806451612903
BEST19,1,1692,1143,27,0.675531914893617,0.023622047244094488
BEST19,2,391,267,16,0.6828644501278772,0.0599250936329588
BEST19,3,439,269,18,0.6127562642369021,0.06691449814126393
BEST19,4,139,84,2,0.60431654676259,0.023809523809523808
BEST35,1,3742,2508,19,0.6702298236237306,0.007575757575757576
BEST35,2,1994,1293,18,0.6484453360080241,0.013921113689095127
BEST37,1,2241,1712,24,0.7639446675591254,0.014018691588785047
